,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
43,1548800,8180419,Private room,Busan,Busanjin,19,4.5,4,1.0,1.0,78.0,1.0,35.149076,129.058016,2016-10-29 00:31:55.439474
44,1610613,5745237,Entire home/apt,Busan,Haeundae,22,4.5,6,3.0,2.0,185.0,1.0,35.155929,129.145024,2016-10-29 00:26:47.460133
45,1629839,8662480,Entire home/apt,Busan,Gijang,10,5.0,10,2.0,1.0,271.0,1.0,35.312155,129.171003,2016-10-28 23:13:14.036692
46,1638419,8700330,Private room,Busan,Nam,0,,2,1.0,1.0,72.0,1.0,35.134123,129.093116,2016-10-28 22:36:33.724107
47,1715967,9048344,Private room,Busan,Haeundae,2,,3,1.0,1.0,55.0,1.0,35.16129,129.158516,2016-10-29 00:12:49.505723
48,1722516,9048344,Shared room,Busan,Haeundae,1,,4,1.0,1.0,23.0,1.0,35.161599,129.159545,2016-10-29 00:14:32.249458
49,1723205,9048344,Shared room,Busan,Haeundae,1,,6,1.0,1.0,20.0,1.0,35.16102,129.159688,2016-10-29 00:36:50.509694
50,1724296,9048344,Shared room,Busan,Haeundae,0,,8,1.0,1.0,19.0,1.0,35.161297,129.158537,2016-10-29 00:37:10.504504
51,1756605,5182879,Private room,Incheon,Jung,0,,4,1.0,1.0,108.0,1.0,35.097135,129.029891,2016-10-28 23:16:53.559830
52,1756814,4218964,Shared room,Busan,Haeundae,8,4.0,8,1.0,1.0,18.0,1.0,35.161301,129.166392,2016-10-28 22:39:51.688624
53,1757146,4218964,Private room,Busan,Haeundae,2,,3,1.0,1.0,76.0,1.0,35.163664,129.165604,2016-10-29 00:45:09.560915
54,1757163,4218964,Private room,Busan,Haeundae,2,,5,1.0,1.0,103.0,1.0,35.161525,129.164083,2016-10-28 23:22:09.760186
55,1784800,4847698,Entire home/apt,Busan,Geumjeong,2,,2,1.0,1.0,41.0,1.0,35.266077,129.093303,2016-10-29 00:28:56.531368
56,1803276,9177813,Shared room,Busan,Haeundae,2,,4,1.0,1.0,40.0,1.0,35.159816,129.167274,2016-10-28 22:48:31.339878
57,1818702,9281498,Entire home/apt,Busan,Dong,6,4.0,4,2.0,2.0,144.0,1.0,35.131929,129.042485,2016-10-28 23:10:07.822419
58,1861770,9711993,Entire home/apt,Busan,Buk,0,,7,3.0,2.0,36.0,1.0,35.211504,129.035996,2016-10-29 00:11:02.396057
59,1887890,9177813,Shared room,Busan,Haeundae,21,4.0,4,1.0,1.0,32.0,1.0,35.159563,129.167636,2016-10-28 23:21:07.340360
60,1986793,9304699,Entire home/apt,Busan,Yeonje,49,4.5,3,2.0,1.0,19.0,1.0,35.175678,129.058368,2016-10-29 00:18:14.916637
61,1995436,10284850,Shared room,Busan,Suyeong,31,4.5,8,1.0,,23.0,1.0,35.143898,129.11184,2016-10-28 23:11:01.945898
62,2103039,10723512,Entire home/apt,Busan,Dong,31,3.5,4,1.0,1.0,36.0,1.0,35.115945,129.038052,2016-10-29 00:17:37.700434
63,2109688,6825834,Private room,Busan,Suyeong,3,4.0,2,1.0,1.0,55.0,1.0,35.161525,129.123598,2016-10-28 23:26:15.256215
64,2112315,10769680,Private room,Busan,Busanjin,64,5.0,5,1.0,1.0,23.0,2.0,35.138486,129.049472,2016-10-28 22:37:05.546605
65,2151392,10980562,Private room,Busan,Saha,0,,2,1.0,1.0,52.0,1.0,35.100072,128.99229,2016-10-29 00:36:04.333410
66,2193913,11189002,Shared room,Incheon,Jung,15,4.5,12,1.0,1.0,22.0,1.0,35.098981,129.034024,2016-10-29 00:44:00.491674
67,2229421,11189002,Shared room,Incheon,Jung,6,4.5,8,1.0,1.0,25.0,1.0,35.098285,129.035867,2016-10-28 23:50:55.744346
68,2229579,11189002,Shared room,Incheon,Jung,5,4.0,8,1.0,1.0,22.0,1.0,35.101132,129.034089,2016-10-29 00:20:06.332424
69,2229683,11189002,Shared room,Incheon,Jung,0,,2,1.0,1.0,54.0,1.0,35.099457,129.035935,2016-10-28 23:55:19.891706
70,2229751,11189002,Shared room,Incheon,Jung,7,4.5,2,1.0,1.0,56.0,1.0,35.099554,129.035514,2016-10-28 22:55:43.956838
71,2256678,11524294,Shared room,Busan,Haeundae,8,4.5,16,1.0,7.0,23.0,1.0,35.161416,129.160531,2016-10-28 23:28:23.861357
72,2256699,11524294,Shared room,Busan,Haeundae,14,5.0,16,1.0,4.0,32.0,1.0,35.16065,129.158989,2016-10-29 00:35:26.626184
73,2367439,6825021,Entire home/apt,Busan,Haeundae,176,5.0,4,1.0,1.0,55.0,1.0,35.160038,129.156788,2016-10-29 00:47:45.859165
74,2455796,10424222,Entire home/apt,Busan,Haeundae,34,5.0,8,3.0,1.0,72.0,2.0,35.161196,129.154481,2016-10-29 00:08:42.331118
